id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
18216,FALSE,10/07/17 10:08,1,10/07/17 10:09,-27760,10/07/17 10:08,Transitime,2,2,525,278264,2930,23:59:43,0,10/07/17,0,-17
65323,FALSE,10/07/17 11:33,1,10/07/17 11:33,8405,10/07/17 11:29,Transitime,2,2,4499,278261,1508,00:03:59,0,10/07/17,0,239
18959,FALSE,10/07/17 10:09,1,10/07/17 10:10,-55505,10/07/17 10:08,Transitime,2,2,7852,278264,2930,00:00:08,-1,10/07/17,0,8
67063,FALSE,10/07/17 11:35,0,10/07/17 11:35,-29430,10/07/17 11:33,Transitime,2,2,7620,278214,1008,00:01:34,0,10/07/17,0,94
19371,FALSE,10/07/17 10:10,0,10/07/17 10:09,19885,10/07/17 10:08,Transitime,2,2,4017,278217,1508,00:01:10,0,10/07/17,0,70
69787,TRUE,10/07/17 11:40,0,10/07/17 11:38,116174,10/07/17 11:16,Transitime,2,2,4017,278214,1008,00:23:55,2,10/07/17,0,1435
20081,TRUE,10/07/17 10:11,1,10/07/17 10:25,-837762,10/07/17 10:04,Transitime,2,2,6497,278262,1008,00:06:11,-14,10/07/17,0,371
69788,TRUE,10/07/17 11:40,0,10/07/17 11:38,116174,10/07/17 11:21,Transitime,2,2,4017,278214,1008,00:19:46,2,10/07/17,0,1186
20225,FALSE,10/07/17 10:11,0,10/07/17 10:11,-363,10/07/17 10:04,Transitime,2,2,429,278217,1508,00:06:30,0,10/07/17,0,390
107677,FALSE,10/07/17 12:43,1,10/07/17 12:43,1549,10/07/17 12:19,Transitime,2,2,546,278259,2928,00:24:07,0,10/07/17,0,1447
71900,FALSE,10/07/17 11:43,1,10/07/17 11:44,-54889,10/07/17 11:38,Transitime,2,2,541,278261,1508,00:05:09,-1,10/07/17,0,309
20697,FALSE,10/07/17 10:10,1,10/07/17 10:11,-73846,10/07/17 10:04,Transitime,2,2,485,278263,2928,00:05:21,-1,10/07/17,0,321
20698,FALSE,10/07/17 10:11,1,10/07/17 10:13,-87970,10/07/17 10:08,Transitime,2,2,491,278263,2928,00:02:59,-1,10/07/17,0,179
72775,FALSE,10/07/17 11:45,0,10/07/17 11:44,46612,10/07/17 11:42,Transitime,2,2,931,278215,2928,00:02:50,1,10/07/17,0,170
24051,FALSE,10/07/17 10:15,0,10/07/17 10:16,-36143,10/07/17 10:04,Transitime,2,2,439,278217,1508,00:10:52,-1,10/07/17,0,652
24493,FALSE,10/07/17 10:17,0,10/07/17 10:18,-75579,10/07/17 10:08,Transitime,2,2,442,278217,1508,00:08:27,-1,10/07/17,0,507
25884,FALSE,10/07/17 10:20,0,10/07/17 10:20,-27545,10/07/17 10:13,Transitime,2,2,445,278217,1508,00:06:32,0,10/07/17,0,392
72777,FALSE,10/07/17 11:45,0,10/07/17 11:45,15979,10/07/17 11:42,Transitime,2,2,4488,278215,2928,00:03:06,0,10/07/17,0,186
25886,FALSE,10/07/17 10:20,0,10/07/17 10:22,-139501,10/07/17 10:08,Transitime,2,2,4482,278217,1508,00:11:20,-2,10/07/17,0,680
107680,FALSE,10/07/17 12:43,1,10/07/17 12:43,-5928,10/07/17 12:41,Transitime,2,2,4504,278259,2928,00:02:28,0,10/07/17,0,148
26041,FALSE,10/07/17 10:21,1,10/07/17 10:16,265232,10/07/17 10:13,Transitime,2,2,500,278263,2928,00:07:30,4,10/07/17,0,450
26901,FALSE,10/07/17 10:23,0,10/07/17 10:25,-116740,10/07/17 10:13,Transitime,2,2,454,278217,1508,00:09:31,-2,10/07/17,0,571
26902,FALSE,10/07/17 10:23,0,10/07/17 10:23,-19195,10/07/17 10:22,Transitime,2,2,454,278217,1508,00:00:29,0,10/07/17,0,29
