shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
13333,-23.538983225926323,-70.39100909368614,1,0
13333,-23.539064742658134,-70.39172968227064,2,0
13333,-23.539145834037907,-70.39250852998453,3,6307476.913595317
13333,-23.536937899314914,-70.39270284016408,4,12615029.473406173
13333,-23.533858859365406,-70.39297379505354,5,18922715.28441574
13333,-23.530943183982597,-70.39328040190219,6,25230804.31050372
13333,-23.52927612081941,-70.39348718326517,7,31539391.385553647
13333,-23.528334711113988,-70.3936939646282,8,37848399.24285555
13333,-23.527595961281857,-70.39405761461148,9,44157655.03937994
13333,-23.526641464207618,-70.39454248125583,10,50467081.71735996
13333,-23.52328105640801,-70.39634647038832,11,56776681.82679937
13333,-23.52256436905414,-70.3967871720522,12,63086684.2881768
13333,-23.522458874937847,-70.39708392751345,13,69397197.13251257
13333,-23.52271716333414,-70.39757732976983,14,75707834.09603268
13333,-23.522882247452507,-70.3978010703214,15,82018520.57853363
13333,-23.5236602506877,-70.39812906834555,16,88329209.12040219
13333,-23.524056361293642,-70.39821228857261,17,94639879.84592715
13333,-23.5243467203115,-70.39838576245137,18,100950468.09611149
13333,-23.525346998211,-70.39890628105479,19,107261016.60225411
13333,-23.526144599977144,-70.39938401730734,20,113571535.97226407
13333,-23.526602238152364,-70.39980471042514,21,119881968.43000615
13333,-23.52681798131158,-70.40019688197583,22,126192344.82952763
13333,-23.527020648805685,-70.40085287802395,23,132502708.42798936
13333,-23.527027186461545,-70.4019366975819,24,138813104.5875197
13333,-23.527001035836033,-70.40283512695237,25,145123585.88202685
13333,-23.527014111149406,-70.40304190831534,26,151434180.00671223
13333,-23.527112175958774,-70.40426833570984,27,157744830.1189841
13333,-23.527275617145186,-70.40507406998637,28,164055573.56607178
13333,-23.527321380641002,-70.40540206801052,29,170366410.93881753
13333,-23.527362481249156,-70.40560404075234,30,176677286.95708528
13333,-23.52761762761544,-70.40562317392073,31,182988185.0619669
13333,-23.527745095638675,-70.40555750629073,32,189299077.76964056
13333,-23.527810173142406,-70.4053908396802,33,195609932.91523054
13333,-23.52769078506966,-70.40463151728613,34,201920756.17817086
13333,-23.52759497441981,-70.40390668882867,35,208231514.45515874
13333,-23.52757634839788,-70.40304903870708,36,214542204.20653588
13333,-23.52753712262128,-70.40188678483906,37,220852811.24759313
13333,-23.5270272206242,-70.40191040601258,38,227163299.89023444
13333,-23.52703702141184,-70.4008822803869,39,233473766.65184587
13333,-23.526800051261745,-70.40019955237153,40,239784214.61013457
13333,-23.526966538927738,-70.39974945689073,41,246094577.4412776
13333,-23.527095299419628,-70.39933143416857,42,252404896.92660025
13333,-23.527075223165244,-70.39899134934097,43,258715142.57198244
13333,-23.527130191144288,-70.39858265899977,44,265025332.0063416
13333,-23.52724335738774,-70.39839173195787,45,271335476.70219773
13333,-23.527523247946576,-70.39809175908528,46,277645578.966446
13333,-23.52780136887021,-70.39774157311695,47,283955626.563315
13333,-23.528028957362874,-70.39744006272491,48,290265592.8492942
13333,-23.529104280751614,-70.39803141477648,49,296575481.6096483
13333,-23.530244581761565,-70.39865849993873,50,302885329.7986749
13333,-23.531029078930665,-70.39801201107963,51,309195082.14670426
13333,-23.53129929353915,-70.39791693918852,52,315504654.6785689
13333,-23.531679977809908,-70.39779905671713,53,321814094.579607
13333,-23.532781105719923,-70.39778383854116,54,328123475.68895084
13333,-23.53299901786837,-70.39780285291931,55,334432761.5577559
13333,-23.532972868429663,-70.39727045032947,56,340741917.5861609
13333,-23.53324307904607,-70.39700424903452,57,347051012.4291758
13333,-23.53329537781099,-70.39682361244161,58,353360056.21958756
