trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
195_0_1,10:01:00,10:01:00,TRAS_INICIO_1_12793,1,,0,0,109.54792733513523
195_0_1,10:07:00,10:07:00,$CEMENTERIO_12794,2,,0,0,278.53980074713655
195_0_1,10:12:00,10:12:00,$FUNDADORES_12796,3,,0,0,4850.279713131645
195_0_1,10:15:00,10:15:00,LASTENIA_12797,4,,0,0,7563.238636584914
195_0_1,10:18:00,10:18:00,$COLEGIOS_12798,5,,0,0,47352.10440900105
195_0_1,10:22:00,10:22:00,STRIP_CENTER_12799,6,,0,0,9954.261140287994
195_0_1,10:27:00,10:27:00,$FELIX_GARCIA_12800,7,,0,0,44731.95977442803
195_0_1,10:38:00,10:38:00,$TERM_BUSES_12801,8,,0,0,39624.3774318787
195_0_1,10:46:00,10:46:00,$U_STO_TOMAS_12802,9,,0,0,37405.72456985784
195_0_1,10:54:00,10:54:00,$PLZA_COLON_12803,10,,0,0,20103.95601236542
195_0_1,11:04:00,11:04:00,$BORGONO_12804,11,,0,0,32992.401678374
195_0_1,11:09:00,11:09:00,SANGRA_12805,12,,0,0,30847.251207048514
195_0_1,11:15:00,11:15:00,AUTO_CLUB_12806,13,,0,0,27928.116080059262
195_0_1,11:21:00,11:21:00,$C_CHAÑARES_12807,14,,0,0,29334.642678700675
195_0_1,11:28:00,11:28:00,$HOM_AVI–BAL_12808,15,,0,0,32151.526400004426
195_0_1,11:36:00,11:36:00,$OSSA/ORELLA_12809,16,,0,0,34478.699248086305
195_0_1,11:41:00,11:41:00,$BANC_EST_PLZA_12810,17,,0,0,35419.4054478197
195_0_1,11:51:00,11:51:00,$TACNA_12811,18,,0,0,37799.7186884492
195_0_1,12:02:00,12:02:00,$CEIM_12812,19,,0,0,41901.22166935016
195_0_1,12:11:00,12:11:00,$LIDER_12813,20,,0,0,44983.54667078823
195_0_1,12:15:00,12:15:00,PETRO/BO_12814,21,,0,0,46219.91418376474
195_0_1,12:16:00,12:16:00,INACAP_12815,22,,0,0,46562.750492367166
195_0_1,12:18:00,12:18:00,OFCARMELA_12816,23,,0,0,47864.61473675016
195_0_1,12:20:00,12:20:00,TRASB_FIN_12817,24,,0,0,49788.183132442326
195_0_2,17:31:00,17:31:00,TRAS_INICIO_1_12793,1,,0,0,109.54792733513523
195_0_2,17:37:00,17:37:00,$CEMENTERIO_12794,2,,0,0,278.53980074713655
195_0_2,17:42:00,17:42:00,$FUNDADORES_12796,3,,0,0,4850.279713131645
195_0_2,17:45:00,17:45:00,LASTENIA_12797,4,,0,0,7563.238636584914
195_0_2,17:48:00,17:48:00,$COLEGIOS_12798,5,,0,0,47352.10440900105
195_0_2,17:52:00,17:52:00,STRIP_CENTER_12799,6,,0,0,9954.261140287994
195_0_2,17:57:00,17:57:00,$FELIX_GARCIA_12800,7,,0,0,44731.95977442803
195_0_2,18:10:00,18:10:00,$TERM_BUSES_12801,8,,0,0,39624.3774318787
195_0_2,18:18:00,18:18:00,$U_STO_TOMAS_12802,9,,0,0,37405.72456985784
195_0_2,18:27:00,18:27:00,$PLZA_COLON_12803,10,,0,0,20103.95601236542
195_0_2,18:37:00,18:37:00,$BORGONO_12804,11,,0,0,32992.401678374
195_0_2,18:42:00,18:42:00,SANGRA_12805,12,,0,0,30847.251207048514
195_0_2,18:47:00,18:47:00,AUTO_CLUB_12806,13,,0,0,27928.116080059262
195_0_2,18:53:00,18:53:00,$C_CHAÑARES_12807,14,,0,0,29334.642678700675
195_0_2,19:01:00,19:01:00,$HOM_AVI–BAL_12808,15,,0,0,32151.526400004426
195_0_2,19:10:00,19:10:00,$OSSA/ORELLA_12809,16,,0,0,34478.699248086305
195_0_2,19:16:00,19:16:00,$BANC_EST_PLZA_12810,17,,0,0,35419.4054478197
195_0_2,19:27:00,19:27:00,$TACNA_12811,18,,0,0,37799.7186884492
195_0_2,19:40:00,19:40:00,$CEIM_12812,19,,0,0,41901.22166935016
195_0_2,19:50:00,19:50:00,$LIDER_12813,20,,0,0,44983.54667078823
195_0_2,19:54:00,19:54:00,PETRO/BO_12814,21,,0,0,46219.91418376474
195_0_2,19:55:00,19:55:00,INACAP_12815,22,,0,0,46562.750492367166
195_0_2,19:57:00,19:57:00,OFCARMELA_12816,23,,0,0,47864.61473675016
195_0_2,19:59:00,19:59:00,TRASB_FIN_12817,24,,0,0,49788.183132442326
195_0_3,18:01:00,18:01:00,TRAS_INICIO_1_12793,1,,0,0,109.54792733513523
195_0_3,18:07:00,18:07:00,$CEMENTERIO_12794,2,,0,0,278.53980074713655
195_0_3,18:12:00,18:12:00,$FUNDADORES_12796,3,,0,0,4850.279713131645
195_0_3,18:15:00,18:15:00,LASTENIA_12797,4,,0,0,7563.238636584914
195_0_3,18:18:00,18:18:00,$COLEGIOS_12798,5,,0,0,47352.10440900105
195_0_3,18:22:00,18:22:00,STRIP_CENTER_12799,6,,0,0,9954.261140287994
195_0_3,18:27:00,18:27:00,$FELIX_GARCIA_12800,7,,0,0,44731.95977442803
195_0_3,18:40:00,18:40:00,$TERM_BUSES_12801,8,,0,0,39624.3774318787
