id,affectedbywaitstop,arrivaldeparturetime,directionid,predictedtime,predictionaccuracymsecs,predictionreadtime,predictionsource,routeid,routeshortname,stopid,tripid,vehicleid,horizon,error,date,Color indicator,horizon seconds
80856,FALSE,10/07/17 11:56,1,10/07/17 11:57,-101306,10/07/17 11:29,Transitime,2,2,512,278260,2930,00:26:25,-2,10/07/17,0,1585
16666,FALSE,10/07/17 10:06,1,10/07/17 10:06,-25604,10/07/17 10:04,Transitime,2,2,478,278263,2928,00:02:02,0,10/07/17,0,122
80857,FALSE,10/07/17 11:56,1,10/07/17 11:54,83345,10/07/17 11:42,Transitime,2,2,512,278260,2930,00:13:53,1,10/07/17,0,833
46629,FALSE,10/07/17 10:58,1,10/07/17 11:00,-153486,10/07/17 10:51,Transitime,2,2,513,278262,1008,00:07:19,-3,10/07/17,0,439
20056,FALSE,10/07/17 10:10,0,10/07/17 10:11,-18153,10/07/17 10:08,Transitime,2,2,937,278218,1008,00:02:29,0,10/07/17,0,149
20057,TRUE,10/07/17 10:11,1,10/07/17 10:25,-837762,10/07/17 10:04,Transitime,2,2,6497,278262,1008,00:06:42,-14,10/07/17,0,402
83390,FALSE,10/07/17 11:58,1,10/07/17 11:59,-55408,10/07/17 11:33,Transitime,2,2,517,278260,2930,00:24:26,-1,10/07/17,0,1466
84810,FALSE,10/07/17 12:03,1,10/07/17 11:58,288392,10/07/17 11:42,Transitime,2,2,521,278260,2930,00:21:10,5,10/07/17,0,1270
20201,FALSE,10/07/17 10:11,0,10/07/17 10:10,28000,10/07/17 10:08,Transitime,2,2,7617,278217,1508,00:02:32,0,10/07/17,0,152
20202,FALSE,10/07/17 10:11,0,10/07/17 10:10,13809,10/07/17 10:08,Transitime,2,2,427,278217,1508,00:02:38,0,10/07/17,0,158
48258,FALSE,10/07/17 11:00,1,10/07/17 10:47,784945,10/07/17 10:46,Transitime,2,2,6902,278261,1508,00:13:43,13,10/07/17,0,823
48692,FALSE,10/07/17 11:01,1,10/07/17 11:01,-15455,10/07/17 10:59,Transitime,2,2,887,278261,1508,00:01:24,0,10/07/17,0,84
20674,FALSE,10/07/17 10:12,1,10/07/17 10:14,-122033,10/07/17 10:08,Transitime,2,2,6935,278263,2928,00:03:49,-2,10/07/17,0,229
20675,FALSE,10/07/17 10:11,1,10/07/17 10:12,-37979,10/07/17 10:08,Transitime,2,2,4496,278263,2928,00:03:08,-1,10/07/17,0,188
21878,FALSE,10/07/17 10:13,0,10/07/17 10:13,7509,10/07/17 10:12,Transitime,2,2,433,278217,1508,00:00:33,0,10/07/17,0,33
86762,FALSE,10/07/17 12:06,1,10/07/17 12:05,36771,10/07/17 12:03,Transitime,2,2,525,278260,2930,00:02:52,1,10/07/17,0,172
86763,FALSE,10/07/17 12:04,1,10/07/17 12:01,178931,10/07/17 11:50,Transitime,2,2,523,278260,2930,00:14:13,3,10/07/17,0,853
22187,FALSE,10/07/17 10:13,1,10/07/17 10:19,-356743,10/07/17 10:12,Transitime,2,2,7470,278264,2930,00:00:17,-6,10/07/17,0,17
22188,TRUE,10/07/17 10:13,0,10/07/17 10:25,-699673,10/07/17 10:12,Transitime,2,2,6968,278216,2930,00:00:29,-12,10/07/17,0,29
87705,FALSE,10/07/17 12:06,1,10/07/17 12:07,-22937,10/07/17 12:07,Transitime,2,2,7852,278260,2930,23:59:38,0,10/07/17,0,-22
24478,FALSE,10/07/17 10:17,0,10/07/17 10:18,-53348,10/07/17 10:04,Transitime,2,2,442,278217,1508,00:13:05,-1,10/07/17,0,785
25917,FALSE,10/07/17 10:20,0,10/07/17 10:18,67540,10/07/17 10:16,Transitime,2,2,445,278217,1508,00:03:13,1,10/07/17,0,193
